"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","403","Позитивный сценарий: пользователь 1, вес 70, базовый коэффициент","chromium","2026-04-07","passed","2026-04-07","UI-тесты варианта 15: Фитнес-калории","main-flow.spec.js","",""
"","418","Позитивный сценарий: пользователь 2, вес 70, удвоение коэффициента","chromium","2026-04-07","passed","2026-04-07","UI-тесты варианта 15: Фитнес-калории","main-flow.spec.js","",""
"Как пользователь фитнес-сервиса
  Я хочу сначала получить шаги и пульс по userId
  Чтобы затем рассчитать количество сожжённых калорий","22","Получение активности и расчет калорий по данным пользователя","","2026-04-07","passed","2026-04-07","","","",""
"Как пользователь фитнес-сервиса
  Я хочу сначала получить шаги и пульс по userId
  Чтобы затем рассчитать количество сожжённых калорий","62","Получение активности и расчет калорий по данным пользователя","","2026-04-07","passed","2026-04-07","","","",""
"","381","DDT: пользователь 1, ручной пульс 170, вес 50","chromium","2026-04-07","passed","2026-04-07","UI-тесты варианта 15: Фитнес-калории","main-flow.spec.js","",""
"Как пользователь фитнес-сервиса
  Я хочу сначала получить шаги и пульс по userId
  Чтобы затем рассчитать количество сожжённых калорий","24","Получение активности и расчет калорий по данным пользователя","","2026-04-07","passed","2026-04-07","","","",""
"Как пользователь фитнес-сервиса
  Я хочу сначала получить шаги и пульс по userId
  Чтобы затем рассчитать количество сожжённых калорий","20","Получение активности и расчет калорий по данным пользователя","","2026-04-07","passed","2026-04-07","","","",""
"","320","Негативный сценарий: пользователь не найден","chromium","2026-04-07","passed","2026-04-07","UI-тесты варианта 15: Фитнес-калории","main-flow.spec.js","",""
"","307","Негативный сценарий: нечисловой ID пользователя","chromium","2026-04-07","passed","2026-04-07","UI-тесты варианта 15: Фитнес-калории","main-flow.spec.js","",""
"","297","Негативный сценарий: отрицательный вес","chromium","2026-04-07","passed","2026-04-07","UI-тесты варианта 15: Фитнес-калории","main-flow.spec.js","",""
"","308","Негативный сценарий: вес меньше минимального","chromium","2026-04-07","passed","2026-04-07","UI-тесты варианта 15: Фитнес-калории","main-flow.spec.js","",""
"","365","Негативный сценарий: нулевой пульс","chromium","2026-04-07","passed","2026-04-07","UI-тесты варианта 15: Фитнес-калории","main-flow.spec.js","",""
"","462","Последовательные действия: загрузка активности пользователя и расчет калорий","chromium","2026-04-07","passed","2026-04-07","UI-тесты варианта 15: Фитнес-калории","main-flow.spec.js","",""
